RoundedX,RoundedY
-1182,3734
-1177,3729
-1172,3729
-1172,3724
-1167,3719
-1162,3714
-1157,3714
-1157,3709
-1152,3704
-1147,3704
-1142,3699
-1142,3694
-1137,3689
-1132,3689
-1127,3684
-1127,3679
-1122,3679
-1117,3674
-1112,3669
-1112,3669
-1107,3664
-1102,3659
-1097,3654
-1097,3654
-1092,3649
-1087,3644
-1082,3644
-1082,3639
-1077,3634
-1077,3634
-1077,3634
-1077,3634
-1077,3634
-1077,3634
-1077,3634
-1072,3629
-1072,3629
-1072,3624
-1072,3624
-1072,3624
-1067,3624
-1067,3619
-1067,3619
-1067,3619
-1067,3619
-1067,3619
-1067,3619
-1067,3619
-1067,3619
-1067,3619
-1067,3614
-1067,3614
-1067,3614
-1067,3614
-1067,3614
-1067,3614
-1072,3609
-1072,3604
-1072,3599
-1072,3589
-1072,3584
-1072,3579
-1072,3574
-1072,3569
-1072,3564
-1072,3559
-1072,3554
-1072,3549
-1077,3544
-1077,3539
-1077,3534
-1077,3529
-1077,3524
-1077,3519
-1077,3514
-1077,3509
-1077,3504
-1077,3499
-1077,3494
-1077,3489
-1082,3484
-1082,3479
-1082,3474
-1082,3469
-1082,3464
-1082,3459
-1082,3454
-1082,3449
-1082,3444
-1082,3439
-1082,3434
-1082,3429
-1087,3424
-1087,3419
-1087,3409
-1087,3404
-1087,3399
-1087,3394
-1087,3389
-1087,3384
-1087,3379
-1087,3374
-1087,3369
-1087,3364
-1092,3359
-1092,3354
-1092,3349
-1092,3344
-1092,3339
-1092,3334
-1092,3329
-1092,3324
-1092,3319
-1092,3314
-1092,3309
-1092,3304
-1097,3299
-1097,3294
-1097,3289
-1097,3284
-1097,3279
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1097,3274
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1092,3269
-1087,3264
-1082,3264
-1082,3264
-1082,3264
-1082,3264
-1082,3264
-1082,3264
-1077,3264
-1072,3264
-1067,3264
-1062,3264
-1057,3259
-1052,3259
-1047,3259
-1042,3259
-1037,3259
-1032,3259
-1027,3259
-1022,3259
-1017,3259
-1007,3259
-1002,3254
-997,3254
-992,3254
-987,3254
-982,3254
-977,3254
-972,3254
-967,3254
-962,3254
-957,3254
-952,3249
-947,3249
-942,3249
-937,3249
-932,3249
-927,3249
-922,3249
-917,3249
-912,3249
-907,3249
-902,3244
-897,3244
-892,3244
-887,3244
-882,3244
-877,3244
-872,3244
-867,3244
-862,3244
-857,3244
-852,3244
-847,3239
-842,3239
-837,3239
-832,3239
-827,3239
-817,3239
-812,3239
-807,3239
-802,3239
-797,3239
-792,3234
-787,3234
-782,3234
-777,3234
-772,3234
-767,3234
-762,3234
-757,3234
-752,3234
-747,3234
-742,3229
-737,3229
-732,3229
-727,3229
-722,3229
-717,3229
-712,3229
-707,3229
-702,3229
-697,3229
-512,3734
-512,3729
-517,3724
-517,3724
-517,3724
-522,3719
-522,3719
-527,3714
-527,3709
-532,3709
-532,3704
-537,3699
-542,3699
-542,3694
